bill_period,month,year,present_reading,previous_reading,units_consumed,recorded_md,power_factor,fixed_charges,energy_charges,fppca_charges,pg_surcharge,tax_amount,md_penalty,true_up_charges,arrears,net_payable,source
Apr-2025,4,2025,2078.9,1900.0,78.9,0.959,0.96,200.0,828.45,19.73,27.62,96.82,0.0,0.0,0.0,1172.61,seed
May-2025,5,2025,2177.9,2078.9,99.0,0.725,0.95,200.0,1039.5,24.75,34.65,116.9,0.0,0.0,0.0,1415.8,seed
Jun-2025,6,2025,2289.7,2177.9,111.8,1.303,0.94,200.0,1173.9,27.95,39.13,129.69,400.0,230.0,0.0,2200.67,seed
Jul-2025,7,2025,2414.9,2289.7,125.2,1.439,0.98,200.0,1314.6,31.3,43.82,143.07,400.0,0.0,0.0,2132.79,seed
Aug-2025,8,2025,2543.4,2414.9,128.5,0.831,0.93,200.0,1349.25,32.12,44.97,146.37,0.0,0.0,0.0,1772.72,seed
Sep-2025,9,2025,2694.7,2543.4,151.3,1.067,0.93,200.0,1588.65,37.83,52.96,169.15,400.0,0.0,0.0,2448.58,seed
Oct-2025,10,2025,2860.1,2694.7,165.4,1.118,0.95,200.0,1736.7,41.35,57.89,183.23,400.0,230.0,0.0,2849.17,seed
Nov-2025,11,2025,2985.4,2860.1,125.3,0.912,0.95,200.0,1315.65,31.32,43.86,143.17,0.0,0.0,0.0,1734.0,seed
Dec-2025,12,2025,3091.4,2985.4,106.0,0.912,0.94,200.0,1113.0,26.5,37.1,123.89,0.0,0.0,0.0,1500.49,seed
Jan-2026,1,2026,3192.2,3091.4,100.8,1.339,0.96,200.0,1058.4,25.2,35.28,118.7,400.0,0.0,0.0,1837.58,seed
Feb-2026,2,2026,3267.8,3192.2,75.6,1.117,0.92,200.0,793.8,18.9,26.46,93.52,400.0,0.0,0.0,1532.68,seed
Mar-2026,3,2026,3344.0,3267.8,76.2,1.097,0.92,200.0,800.1,19.05,26.67,94.12,400.0,0.0,0.0,1539.94,seed
Apr-2026,4,2026,3424.1,3344.0,80.1,1.051,0.95,200.0,841.05,20.02,28.03,98.02,400.0,0.0,0.0,1587.13,seed
May-2026,5,2026,2439.6,2319.3,110.3,1.91,0.97,200.0,1158.15,27.57,38.6,128.19,400.0,227.48,0.0,2180.0,manual
